Date,Value
2008/08/01,41.22
2008/08/02,41.22
2008/08/03,41.22
2008/08/04,41.29
2008/08/05,43.34
2008/08/06,43.53
2008/08/07,43.22
2008/08/08,45.15
2008/08/09,45.15
2008/08/10,45.15
2008/08/11,45.89
2008/08/12,45.62
2008/08/13,45.89
2008/08/14,45.36
2008/08/15,45.11
2008/08/16,45.11
2008/08/17,45.11
2008/08/18,44.1
2008/08/19,43.73
2008/08/20,44.28
2008/08/21,44.51
2008/08/22,44.91
2008/08/23,44.91
2008/08/24,44.91
2008/08/25,43.67
2008/08/26,43.36
2008/08/27,44.15
2008/08/28,44.31
2008/08/29,42.83
2008/08/30,42.83
2008/08/31,42.83
2008/09/01,42.83
2008/09/02,42.85
2008/09/03,43.14
2008/09/04,42.19
2008/09/05,40.91
2008/09/06,40.91
2008/09/07,40.91
2008/09/08,41.61
2008/09/09,40.79
2008/09/10,40.73
2008/09/11,41.05
2008/09/12,40.47
2008/09/13,40.47
2008/09/14,40.47
2008/09/15,38.08
2008/09/16,38.14
2008/09/17,36.23
2008/09/18,39.65
2008/09/19,40.94
2008/09/20,40.94
2008/09/21,40.94
2008/09/22,39.23
2008/09/23,38.85
2008/09/24,39.45
2008/09/25,39.83
2008/09/26,39.99
2008/09/27,39.99
2008/09/28,39.99
2008/09/29,36.15
2008/09/30,39.47
2008/10/01,38.12
2008/10/02,35.22
2008/10/03,33.69
2008/10/04,33.69
2008/10/05,33.69
2008/10/06,30.71
2008/10/07,28.69
2008/10/08,30.0
2008/10/09,27.99
2008/10/10,27.12
2008/10/11,27.12
2008/10/12,27.12
2008/10/13,30.38
2008/10/14,29.2
2008/10/15,25.94
2008/10/16,27.69
2008/10/17,28.18
2008/10/18,28.18
2008/10/19,28.18
2008/10/20,29.31
2008/10/21,27.59
2008/10/22,25.4
2008/10/23,24.97
2008/10/24,23.89
2008/10/25,23.89
2008/10/26,23.89
2008/10/27,23.68
2008/10/28,27.07
2008/10/29,26.8
2008/10/30,26.86
2008/10/31,26.64
2008/11/01,26.64
2008/11/02,26.64
2008/11/03,27.16
2008/11/04,29.16
2008/11/05,27.22
2008/11/06,24.56
2008/11/07,24.59
2008/11/08,24.59
2008/11/09,24.59
2008/11/10,24.93
2008/11/11,23.64
2008/11/12,21.89
2008/11/13,24.3
2008/11/14,22.34
2008/11/15,22.34
2008/11/16,22.34
2008/11/17,22.8
2008/11/18,22.64
2008/11/19,21.63
2008/11/20,20.75
2008/11/21,21.38
2008/11/22,21.38
2008/11/23,21.38
2008/11/24,21.73
2008/11/25,22.42
2008/11/26,23.35
2008/11/27,23.35
2008/11/28,23.16
2008/11/29,23.16
2008/11/30,23.16
2008/12/01,21.0
2008/12/02,22.0
2008/12/03,22.54
2008/12/04,20.44
2008/12/05,21.66
2008/12/06,21.66
2008/12/07,21.66
2008/12/08,22.6
2008/12/09,22.89
2008/12/10,23.44
2008/12/11,22.19
2008/12/12,22.43
2008/12/13,22.43
2008/12/14,22.43
2008/12/15,21.36
2008/12/16,22.32
2008/12/17,21.69
2008/12/18,21.38
