Date,Value
2008/08/01,30.2
2008/08/02,30.2
2008/08/03,30.2
2008/08/04,30.15
2008/08/05,31.1
2008/08/06,31.49
2008/08/07,31.51
2008/08/08,32.26
2008/08/09,32.26
2008/08/10,32.26
2008/08/11,32.7
2008/08/12,32.39
2008/08/13,32.41
2008/08/14,32.86
2008/08/15,32.57
2008/08/16,32.57
2008/08/17,32.57
2008/08/18,32.18
2008/08/19,32.14
2008/08/20,29.29
2008/08/21,28.7
2008/08/22,28.84
2008/08/23,28.84
2008/08/24,28.84
2008/08/25,28.36
2008/08/26,28.13
2008/08/27,28.19
2008/08/28,28.18
2008/08/29,27.96
2008/08/30,27.96
2008/08/31,27.96
2008/09/01,27.96
2008/09/02,27.59
2008/09/03,26.24
2008/09/04,26.19
2008/09/05,27.5
2008/09/06,27.5
2008/09/07,27.5
2008/09/08,27.4
2008/09/09,26.23
2008/09/10,26.4
2008/09/11,26.71
2008/09/12,26.75
2008/09/13,26.75
2008/09/14,26.75
2008/09/15,26.23
2008/09/16,26.38
2008/09/17,25.37
2008/09/18,27.88
2008/09/19,27.67
2008/09/20,27.67
2008/09/21,27.67
2008/09/22,26.97
2008/09/23,26.6
2008/09/24,26.61
2008/09/25,26.56
2008/09/26,26.87
2008/09/27,26.87
2008/09/28,26.87
2008/09/29,25.26
2008/09/30,26.35
2008/10/01,26.17
2008/10/02,25.0
2008/10/03,24.64
2008/10/04,24.64
2008/10/05,24.64
2008/10/06,23.68
2008/10/07,22.41
2008/10/08,22.71
2008/10/09,22.12
2008/10/10,21.4
2008/10/11,21.4
2008/10/12,21.4
2008/10/13,24.02
2008/10/14,22.77
2008/10/15,19.75
2008/10/16,20.23
2008/10/17,20.1
2008/10/18,20.1
2008/10/19,20.1
2008/10/20,20.33
2008/10/21,19.94
2008/10/22,19.53
2008/10/23,19.56
2008/10/24,19.27
2008/10/25,19.27
2008/10/26,19.27
2008/10/27,19.34
2008/10/28,21.37
2008/10/29,20.95
2008/10/30,21.45
2008/10/31,21.36
2008/11/01,21.36
2008/11/02,21.36
2008/11/03,21.14
2008/11/04,22.2
2008/11/05,20.92
2008/11/06,19.86
2008/11/07,20.5
2008/11/08,20.5
2008/11/09,20.5
2008/11/10,19.79
2008/11/11,19.64
2008/11/12,19.23
2008/11/13,20.23
2008/11/14,19.29
2008/11/15,19.29
2008/11/16,19.29
2008/11/17,18.8
2008/11/18,18.75
2008/11/19,17.53
2008/11/20,16.94
2008/11/21,16.92
2008/11/22,16.92
2008/11/23,16.92
2008/11/24,18.17
2008/11/25,16.95
2008/11/26,17.75
2008/11/27,17.75
2008/11/28,17.1
2008/11/29,17.1
2008/11/30,17.1
2008/12/01,16.1
2008/12/02,16.35
2008/12/03,17.3
2008/12/04,16.19
2008/12/05,16.66
2008/12/06,16.66
2008/12/07,16.66
2008/12/08,16.71
2008/12/09,18.06
2008/12/10,18.18
2008/12/11,18.46
2008/12/12,19.38
2008/12/13,19.38
2008/12/14,19.38
2008/12/15,18.87
2008/12/16,19.98
2008/12/17,19.68
2008/12/18,18.24
2008/12/19,18.97
2008/12/20,18.97
2008/12/21,18.97
2008/12/22,18.35
2008/12/23,18.03
2008/12/24,18.19
2008/12/25,18.19
2008/12/26,18.14
2008/12/27,18.14
2008/12/28,18.14
2008/12/29,18.11
2008/12/30,18.84
2008/12/31,19.02
2009/01/01,19.02
2009/01/02,19.67
2009/01/03,19.67
2009/01/04,19.67
2009/01/05,19.57
2009/01/06,20.52
2009/01/07,19.75
2009/01/08,19.77
2009/01/09,19.37
2009/01/10,19.37
2009/01/11,19.37
2009/01/12,19.05
2009/01/13,19.35
2009/01/14,18.6
2009/01/15,19.1
2009/01/16,19.83
2009/01/17,19.83
2009/01/18,19.83
2009/01/19,19.83
2009/01/20,18.77
2009/01/21,18.9
2009/01/22,18.93
2009/01/23,19.66
2009/01/24,19.66
2009/01/25,19.66
2009/01/26,19.69
2009/01/27,20.54
2009/01/28,21.29
2009/01/29,20.44
2009/01/30,19.98
2009/01/31,19.98
2009/02/01,19.98
2009/02/02,20.32
2009/02/03,20.82
2009/02/04,21.04
2009/02/05,21.98
2009/02/06,22.38
2009/02/07,22.38
2009/02/08,22.38
2009/02/09,22.31
2009/02/10,21.02
2009/02/11,20.9
2009/02/12,21.13
2009/02/13,21.38
2009/02/14,21.38
2009/02/15,21.38
2009/02/16,21.38
2009/02/17,20.0
2009/02/18,20.02
2009/02/19,19.4
2009/02/20,19.3
2009/02/21,19.3
2009/02/22,19.3
2009/02/23,18.34
2009/02/24,18.78
2009/02/25,19.26
2009/02/26,18.77
2009/02/27,18.64
2009/02/28,18.64
2009/03/01,18.64
2009/03/02,17.93
2009/03/03,18.24
2009/03/04,18.92
2009/03/05,18.78
2009/03/06,18.48
2009/03/07,18.48
2009/03/08,18.48
2009/03/09,18.05
2009/03/10,19.17
2009/03/11,19.43
2009/03/12,19.95
2009/03/13,20.16
2009/03/14,20.16
2009/03/15,20.16
2009/03/16,19.59
2009/03/17,20.24
2009/03/18,20.61
2009/03/19,20.28
2009/03/20,19.59
2009/03/21,19.59
2009/03/22,19.59
2009/03/23,20.32
2009/03/24,20.04
2009/03/25,19.83
2009/03/26,20.2
2009/03/27,19.98
2009/03/28,19.98
2009/03/29,19.98
2009/03/30,19.32
2009/03/31,19.27
2009/04/01,19.0
2009/04/02,19.59
2009/04/03,20.63
2009/04/04,20.63
2009/04/05,20.63
2009/04/06,20.34
2009/04/07,19.87
2009/04/08,20.13
2009/04/09,20.76
2009/04/10,20.76
2009/04/11,20.76
2009/04/12,20.76
2009/04/13,20.55
2009/04/14,20.85
2009/04/15,20.42
2009/04/16,21.29
2009/04/17,21.41
2009/04/18,21.41
2009/04/19,21.41
2009/04/20,20.68
2009/04/21,20.75
2009/04/22,20.93
2009/04/23,20.91
2009/04/24,21.16
2009/04/25,21.16
2009/04/26,21.16
2009/04/27,20.84
2009/04/28,20.55
2009/04/29,20.78
2009/04/30,21.28
2009/05/01,21.15
2009/05/02,21.15
2009/05/03,21.15
2009/05/04,22.06
2009/05/05,22.0
2009/05/06,22.62
2009/05/07,21.56
2009/05/08,20.67
2009/05/09,20.67
2009/05/10,20.67
2009/05/11,20.81
2009/05/12,20.61
2009/05/13,20.12
2009/05/14,20.09
2009/05/15,19.46
2009/05/16,19.46
2009/05/17,19.46
2009/05/18,19.9
2009/05/19,20.58
2009/05/20,23.8
2009/05/21,23.57
2009/05/22,23.59
2009/05/23,23.59
2009/05/24,23.59
2009/05/25,23.59
2009/05/26,23.66
2009/05/27,23.94
2009/05/28,24.15
2009/05/29,24.41
2009/05/30,24.41
2009/05/31,24.41
2009/06/01,25.03
2009/06/02,24.48
2009/06/03,24.35
2009/06/04,24.56
2009/06/05,24.43
2009/06/06,24.43
2009/06/07,24.43
2009/06/08,24.43
2009/06/09,25.73
2009/06/10,25.71
2009/06/11,25.74
2009/06/12,25.4
2009/06/13,25.4
2009/06/14,25.4
2009/06/15,25.0
2009/06/16,24.41
2009/06/17,24.64
2009/06/18,24.41
2009/06/19,24.54
2009/06/20,24.54
2009/06/21,24.54
2009/06/22,23.65
2009/06/23,23.34
2009/06/24,23.73
2009/06/25,24.79
2009/06/26,24.78
2009/06/27,24.78
2009/06/28,24.78
2009/06/29,24.68
2009/06/30,24.78
2009/07/01,24.86
2009/07/02,24.7
2009/07/03,24.7
2009/07/04,24.7
2009/07/05,24.7
2009/07/06,24.08
2009/07/07,23.8
2009/07/08,23.46
2009/07/09,24.03
2009/07/10,23.95
2009/07/11,23.95
2009/07/12,23.95
2009/07/13,24.27
2009/07/14,24.18
2009/07/15,24.94
2009/07/16,25.33
2009/07/17,25.61
2009/07/18,25.61
2009/07/19,25.61
2009/07/20,25.82
2009/07/21,25.68
2009/07/22,26.7
2009/07/23,27.39
2009/07/24,27.37
2009/07/25,27.37
2009/07/26,27.37
2009/07/27,27.52
2009/07/28,27.55
2009/07/29,27.5
2009/07/30,27.47
2009/07/31,27.37
2009/08/01,27.37
2009/08/02,27.37
2009/08/03,27.6
2009/08/04,27.8
2009/08/05,27.57
2009/08/06,27.28
2009/08/07,27.05
2009/08/08,27.05
2009/08/09,27.05
2009/08/10,27.16
2009/08/11,27.1
2009/08/12,27.2
2009/08/13,27.81
2009/08/14,27.39
2009/08/15,27.39
2009/08/16,27.39
2009/08/17,26.76
2009/08/18,27.22
2009/08/19,27.8
2009/08/20,27.97
2009/08/21,28.42
2009/08/22,28.42
2009/08/23,28.42
2009/08/24,28.24
2009/08/25,28.37
2009/08/26,28.64
2009/08/27,28.59
2009/08/28,28.68
2009/08/29,28.68
2009/08/30,28.68
2009/08/31,28.25
2009/09/01,27.76
2009/09/02,27.56
2009/09/03,28.15
2009/09/04,28.8
2009/09/05,28.8
2009/09/06,28.8
2009/09/07,28.8
2009/09/08,29.3
2009/09/09,29.28
2009/09/10,29.4
2009/09/11,28.39
2009/09/12,28.39
2009/09/13,28.39
2009/09/14,28.68
2009/09/15,28.55
2009/09/16,27.66
2009/09/17,27.47
2009/09/18,27.28
2009/09/19,27.28
2009/09/20,27.28
2009/09/21,27.2
2009/09/22,27.28
2009/09/23,27.7
2009/09/24,27.38
2009/09/25,27.58
2009/09/26,27.58
2009/09/27,27.58
2009/09/28,28.02
2009/09/29,27.28
2009/09/30,27.58
2009/10/01,26.57
2009/10/02,26.26
2009/10/03,26.26
2009/10/04,26.26
2009/10/05,26.36
2009/10/06,26.98
2009/10/07,26.77
2009/10/08,26.37
2009/10/09,27.41
2009/10/10,27.41
2009/10/11,27.41
2009/10/12,28.1
2009/10/13,28.02
2009/10/14,28.65
2009/10/15,28.16
2009/10/16,27.66
2009/10/17,27.66
2009/10/18,27.66
2009/10/19,27.81
2009/10/20,27.67
2009/10/21,27.25
2009/10/22,27.57
2009/10/23,27.12
2009/10/24,27.12
2009/10/25,27.12
2009/10/26,27.2
2009/10/27,26.59
2009/10/28,25.79
2009/10/29,26.36
2009/10/30,25.63
2009/10/31,25.63
2009/11/01,25.63
2009/11/02,25.8
2009/11/03,25.83
2009/11/04,26.13
2009/11/05,26.87
2009/11/06,26.52
2009/11/07,26.52
2009/11/08,26.52
2009/11/09,27.13
2009/11/10,27.71
2009/11/11,27.72
2009/11/12,27.4
2009/11/13,27.36
2009/11/14,27.36
2009/11/15,27.36
