Date,Value
2008/08/01,17.53
2008/08/02,17.53
2008/08/03,17.53
2008/08/04,17.87
2008/08/05,18.07
2008/08/06,17.95
2008/08/07,18.48
2008/08/08,18.79
2008/08/09,18.79
2008/08/10,18.79
2008/08/11,18.52
2008/08/12,18.47
2008/08/13,19.33
2008/08/14,19.12
2008/08/15,19.3
2008/08/16,19.3
2008/08/17,19.3
2008/08/18,18.79
2008/08/19,18.43
2008/08/20,18.46
2008/08/21,18.36
2008/08/22,18.49
2008/08/23,18.49
2008/08/24,18.49
2008/08/25,18.12
2008/08/26,18.19
2008/08/27,18.31
2008/08/28,18.5
2008/08/29,17.92
2008/08/30,17.92
2008/08/31,17.92
2008/09/01,17.92
2008/09/02,17.8
2008/09/03,17.11
2008/09/04,16.75
2008/09/05,17.16
2008/09/06,17.16
2008/09/07,17.16
2008/09/08,17.35
2008/09/09,16.9
2008/09/10,16.37
2008/09/11,16.62
2008/09/12,16.23
2008/09/13,16.23
2008/09/14,16.23
2008/09/15,16.34
2008/09/16,16.54
2008/09/17,15.7
2008/09/18,15.93
2008/09/19,15.9
2008/09/20,15.9
2008/09/21,15.9
2008/09/22,15.49
2008/09/23,15.56
2008/09/24,15.64
2008/09/25,16.02
2008/09/26,15.95
2008/09/27,15.95
2008/09/28,15.95
2008/09/29,14.63
2008/09/30,15.13
2008/10/01,14.96
2008/10/02,14.27
2008/10/03,14.19
2008/10/04,14.19
2008/10/05,14.19
2008/10/06,13.54
2008/10/07,12.35
2008/10/08,12.47
2008/10/09,12.8
2008/10/10,12.7
2008/10/11,12.7
2008/10/12,12.7
2008/10/13,13.39
2008/10/14,12.75
2008/10/15,11.51
2008/10/16,12.53
2008/10/17,11.99
2008/10/18,11.99
2008/10/19,11.99
2008/10/20,12.76
2008/10/21,12.22
2008/10/22,11.64
2008/10/23,11.36
2008/10/24,11.4
2008/10/25,11.4
2008/10/26,11.4
2008/10/27,11.3
2008/10/28,12.44
2008/10/29,11.98
2008/10/30,12.08
2008/10/31,12.91
2008/11/01,12.91
2008/11/02,12.91
2008/11/03,12.96
2008/11/04,13.31
2008/11/05,12.46
2008/11/06,10.89
2008/11/07,11.3
2008/11/08,11.3
2008/11/09,11.3
2008/11/10,10.71
2008/11/11,10.65
2008/11/12,9.95
2008/11/13,11.37
2008/11/14,10.23
2008/11/15,10.23
2008/11/16,10.23
2008/11/17,10.0
2008/11/18,9.5
2008/11/19,8.42
2008/11/20,8.14
2008/11/21,8.35
2008/11/22,8.35
2008/11/23,8.35
2008/11/24,8.84
2008/11/25,8.71
2008/11/26,9.73
2008/11/27,9.73
2008/11/28,9.58
2008/11/29,9.58
2008/11/30,9.58
2008/12/01,8.88
2008/12/02,8.99
2008/12/03,9.31
2008/12/04,9.52
2008/12/05,10.0
2008/12/06,10.0
2008/12/07,10.0
2008/12/08,10.01
2008/12/09,10.31
2008/12/10,10.35
2008/12/11,10.06
2008/12/12,10.45
2008/12/13,10.45
2008/12/14,10.45
2008/12/15,10.19
2008/12/16,10.75
2008/12/17,10.67
2008/12/18,10.1
2008/12/19,10.13
2008/12/20,10.13
2008/12/21,10.13
2008/12/22,10.15
2008/12/23,9.72
2008/12/24,9.83
2008/12/25,9.83
2008/12/26,9.69
2008/12/27,9.69
2008/12/28,9.69
2008/12/29,9.8
2008/12/30,10.15
2008/12/31,10.13
2009/01/01,10.13
2009/01/02,10.67
2009/01/03,10.67
2009/01/04,10.67
2009/01/05,10.67
2009/01/06,11.58
2009/01/07,10.6
2009/01/08,10.74
2009/01/09,10.37
2009/01/10,10.37
2009/01/11,10.37
2009/01/12,10.0
2009/01/13,10.19
2009/01/14,9.73
2009/01/15,9.7
2009/01/16,10.18
2009/01/17,10.18
2009/01/18,10.18
2009/01/19,10.18
2009/01/20,9.4
2009/01/21,9.42
2009/01/22,9.15
2009/01/23,9.71
2009/01/24,9.71
2009/01/25,9.71
2009/01/26,9.83
2009/01/27,10.08
2009/01/28,10.38
2009/01/29,9.6
2009/01/30,9.37
2009/01/31,9.37
2009/02/01,9.37
2009/02/02,9.41
2009/02/03,9.58
2009/02/04,9.83
2009/02/05,10.23
2009/02/06,10.45
2009/02/07,10.45
2009/02/08,10.45
2009/02/09,10.2
2009/02/10,9.69
2009/02/11,9.77
2009/02/12,9.42
2009/02/13,9.51
2009/02/14,9.51
2009/02/15,9.51
2009/02/16,9.51
2009/02/17,8.61
2009/02/18,8.59
2009/02/19,8.34
2009/02/20,8.76
2009/02/21,8.76
2009/02/22,8.76
2009/02/23,8.37
2009/02/24,8.74
2009/02/25,9.45
2009/02/26,9.84
2009/02/27,9.21
2009/02/28,9.21
2009/03/01,9.21
2009/03/02,8.85
2009/03/03,8.85
2009/03/04,9.3
2009/03/05,9.04
2009/03/06,8.7
2009/03/07,8.7
2009/03/08,8.7
2009/03/09,8.58
2009/03/10,9.22
2009/03/11,9.6
2009/03/12,10.14
2009/03/13,10.59
2009/03/14,10.59
2009/03/15,10.59
2009/03/16,10.43
2009/03/17,10.7
2009/03/18,10.85
2009/03/19,10.7
2009/03/20,10.21
2009/03/21,10.21
2009/03/22,10.21
2009/03/23,11.06
2009/03/24,10.59
2009/03/25,10.99
2009/03/26,11.62
2009/03/27,11.23
2009/03/28,11.23
2009/03/29,11.23
2009/03/30,10.66
2009/03/31,10.75
2009/04/01,10.76
2009/04/02,11.44
2009/04/03,11.81
2009/04/04,11.81
2009/04/05,11.81
2009/04/06,11.56
2009/04/07,10.55
2009/04/08,10.75
2009/04/09,11.45
2009/04/10,11.45
2009/04/11,11.45
2009/04/12,11.45
2009/04/13,11.51
2009/04/14,11.76
2009/04/15,11.43
2009/04/16,11.83
2009/04/17,11.92
2009/04/18,11.92
2009/04/19,11.92
2009/04/20,11.13
2009/04/21,11.25
2009/04/22,11.61
2009/04/23,11.45
2009/04/24,11.7
2009/04/25,11.7
2009/04/26,11.7
2009/04/27,11.59
2009/04/28,11.41
2009/04/29,11.59
2009/04/30,12.21
2009/05/01,12.18
2009/05/02,12.18
2009/05/03,12.18
2009/05/04,12.76
2009/05/05,12.39
2009/05/06,12.68
2009/05/07,11.85
2009/05/08,11.89
2009/05/09,11.89
2009/05/10,11.89
2009/05/11,11.78
2009/05/12,11.48
2009/05/13,10.99
2009/05/14,11.06
2009/05/15,10.71
2009/05/16,10.71
2009/05/17,10.71
2009/05/18,11.12
2009/05/19,11.13
2009/05/20,10.97
2009/05/21,10.64
2009/05/22,10.67
2009/05/23,10.67
2009/05/24,10.67
2009/05/25,10.67
2009/05/26,10.93
2009/05/27,11.08
2009/05/28,11.3
2009/05/29,11.26
2009/05/30,11.26
2009/05/31,11.26
2009/06/01,12.06
2009/06/02,11.61
2009/06/03,11.38
2009/06/04,11.54
2009/06/05,10.98
2009/06/06,10.98
2009/06/07,10.98
2009/06/08,10.86
2009/06/09,11.03
2009/06/10,10.92
2009/06/11,11.15
2009/06/12,11.23
2009/06/13,11.23
2009/06/14,11.23
2009/06/15,11.1
2009/06/16,10.9
2009/06/17,10.94
2009/06/18,10.84
2009/06/19,10.98
2009/06/20,10.98
2009/06/21,10.98
2009/06/22,10.5
2009/06/23,10.61
2009/06/24,10.8
2009/06/25,10.97
2009/06/26,10.91
2009/06/27,10.91
2009/06/28,10.91
2009/06/29,11.05
2009/06/30,11.01
2009/07/01,11.13
2009/07/02,11.13
2009/07/03,11.13
2009/07/04,11.13
2009/07/05,11.13
2009/07/06,11.25
2009/07/07,10.93
2009/07/08,10.72
2009/07/09,10.95
2009/07/10,11.0
2009/07/11,11.0
2009/07/12,11.0
2009/07/13,11.42
2009/07/14,11.64
2009/07/15,12.31
2009/07/16,12.74
2009/07/17,12.67
2009/07/18,12.67
2009/07/19,12.67
2009/07/20,12.79
2009/07/21,12.83
2009/07/22,13.25
2009/07/23,13.49
2009/07/24,13.19
2009/07/25,13.19
2009/07/26,13.19
2009/07/27,13.31
2009/07/28,13.38
2009/07/29,13.61
2009/07/30,13.63
2009/07/31,13.8
2009/08/01,13.8
2009/08/02,13.8
2009/08/03,14.01
2009/08/04,13.94
2009/08/05,13.73
2009/08/06,13.41
2009/08/07,13.52
2009/08/08,13.52
2009/08/09,13.52
2009/08/10,13.53
2009/08/11,13.22
2009/08/12,13.66
2009/08/13,13.97
2009/08/14,13.55
2009/08/15,13.55
2009/08/16,13.55
2009/08/17,13.12
2009/08/18,13.37
2009/08/19,13.3
2009/08/20,13.46
2009/08/21,13.74
2009/08/22,13.74
2009/08/23,13.74
2009/08/24,13.48
2009/08/25,13.25
2009/08/26,13.32
2009/08/27,13.29
2009/08/28,13.27
2009/08/29,13.27
2009/08/30,13.27
2009/08/31,13.18
2009/09/01,12.93
2009/09/02,12.97
2009/09/03,13.15
2009/09/04,13.45
2009/09/05,13.45
2009/09/06,13.45
2009/09/07,13.45
2009/09/08,13.68
2009/09/09,13.9
2009/09/10,13.64
2009/09/11,13.51
2009/09/12,13.51
2009/09/13,13.51
2009/09/14,13.3
2009/09/15,13.35
2009/09/16,13.39
2009/09/17,13.03
2009/09/18,13.03
2009/09/19,13.03
2009/09/20,13.03
2009/09/21,12.66
2009/09/22,13.27
2009/09/23,13.24
2009/09/24,13.02
2009/09/25,13.1
2009/09/26,13.1
2009/09/27,13.1
2009/09/28,13.5
2009/09/29,13.28
2009/09/30,13.38
2009/10/01,12.89
2009/10/02,12.68
2009/10/03,12.68
