Date,Value
2008/08/01,4.28
2008/08/02,4.28
2008/08/03,4.28
2008/08/04,4.48
2008/08/05,4.6
2008/08/06,4.8
2008/08/07,5.03
2008/08/08,5.13
2008/08/09,5.13
2008/08/10,5.13
2008/08/11,5.11
2008/08/12,5.21
2008/08/13,5.15
2008/08/14,5.3
2008/08/15,5.64
2008/08/16,5.64
2008/08/17,5.64
2008/08/18,5.91
2008/08/19,5.58
2008/08/20,5.7
2008/08/21,5.76
2008/08/22,5.81
2008/08/23,5.81
2008/08/24,5.81
2008/08/25,5.93
2008/08/26,5.93
2008/08/27,6.07
2008/08/28,6.25
2008/08/29,6.29
2008/08/30,6.29
2008/08/31,6.29
2008/09/01,6.29
2008/09/02,6.34
2008/09/03,6.15
2008/09/04,5.84
2008/09/05,5.96
2008/09/06,5.96
2008/09/07,5.96
2008/09/08,6.07
2008/09/09,5.77
2008/09/10,5.78
2008/09/11,5.71
2008/09/12,5.75
2008/09/13,5.75
2008/09/14,5.75
2008/09/15,5.18
2008/09/16,5.26
2008/09/17,4.9
2008/09/18,5.3
2008/09/19,5.42
2008/09/20,5.42
2008/09/21,5.42
2008/09/22,4.99
2008/09/23,4.94
2008/09/24,4.88
2008/09/25,5.23
2008/09/26,5.16
2008/09/27,5.16
2008/09/28,5.16
2008/09/29,4.29
2008/09/30,5.25
2008/10/01,4.74
2008/10/02,4.14
2008/10/03,4.53
2008/10/04,4.53
2008/10/05,4.53
2008/10/06,4.23
2008/10/07,4.59
2008/10/08,4.05
2008/10/09,4.04
2008/10/10,3.81
2008/10/11,3.81
2008/10/12,3.81
2008/10/13,4.21
2008/10/14,4.27
2008/10/15,3.91
2008/10/16,4.12
2008/10/17,4.21
2008/10/18,4.21
2008/10/19,4.21
2008/10/20,4.11
2008/10/21,3.91
2008/10/22,3.62
2008/10/23,3.28
2008/10/24,3.03
2008/10/25,3.03
2008/10/26,3.03
2008/10/27,2.94
2008/10/28,2.84
2008/10/29,2.98
2008/10/30,3.56
2008/10/31,3.5
