Date,Value
2008/08/01,75.75
2008/08/02,75.75
2008/08/03,75.75
2008/08/04,75.71
2008/08/05,79.11
2008/08/06,78.09
2008/08/07,76.95
2008/08/08,80.51
2008/08/09,80.51
2008/08/10,80.51
2008/08/11,88.09
2008/08/12,87.25
2008/08/13,86.69
2008/08/14,88.03
2008/08/15,86.4
2008/08/16,86.4
2008/08/17,86.4
2008/08/18,83.11
2008/08/19,81.29
2008/08/20,82.13
2008/08/21,83.26
2008/08/22,85.26
2008/08/23,85.26
2008/08/24,85.26
2008/08/25,82.85
2008/08/26,81.76
2008/08/27,81.73
2008/08/28,83.42
2008/08/29,80.81
2008/08/30,80.81
2008/08/31,80.81
2008/09/01,80.81
2008/09/02,81.41
2008/09/03,80.77
2008/09/04,78.03
2008/09/05,79.19
2008/09/06,79.19
2008/09/07,79.19
2008/09/08,81.16
2008/09/09,79.04
2008/09/10,76.74
2008/09/11,79.51
2008/09/12,78.3
2008/09/13,78.3
2008/09/14,78.3
2008/09/15,77.34
2008/09/16,78.73
2008/09/17,71.54
2008/09/18,76.5
2008/09/19,81.0
2008/09/20,81.0
2008/09/21,81.0
2008/09/22,74.93
2008/09/23,71.76
2008/09/24,69.96
2008/09/25,72.08
2008/09/26,70.7
2008/09/27,70.7
2008/09/28,70.7
2008/09/29,63.35
2008/09/30,72.76
2008/10/01,69.58
2008/10/02,67.36
2008/10/03,67.0
2008/10/04,67.0
2008/10/05,67.0
2008/10/06,65.23
2008/10/07,58.52
2008/10/08,61.02
2008/10/09,56.0
2008/10/10,56.25
2008/10/11,56.25
2008/10/12,56.25
2008/10/13,62.02
2008/10/14,55.86
2008/10/15,48.72
2008/10/16,50.29
2008/10/17,50.65
2008/10/18,50.65
2008/10/19,50.65
2008/10/20,52.97
2008/10/21,50.23
2008/10/22,49.99
2008/10/23,50.32
2008/10/24,48.96
2008/10/25,48.96
2008/10/26,48.96
2008/10/27,49.58
2008/10/28,56.04
2008/10/29,56.89
2008/10/30,56.71
2008/10/31,57.24
2008/11/01,57.24
2008/11/02,57.24
2008/11/03,55.77
2008/11/04,58.45
2008/11/05,51.98
2008/11/06,47.22
2008/11/07,49.21
2008/11/08,49.21
2008/11/09,49.21
2008/11/10,48.46
2008/11/11,46.3
2008/11/12,41.56
2008/11/13,44.93
2008/11/14,41.75
2008/11/15,41.75
2008/11/16,41.75
2008/11/17,39.69
2008/11/18,38.44
2008/11/19,35.84
2008/11/20,35.03
2008/11/21,37.87
2008/11/22,37.87
2008/11/23,37.87
2008/11/24,42.5
2008/11/25,42.19
2008/11/26,43.96
2008/11/27,43.96
2008/11/28,42.7
2008/11/29,42.7
2008/11/30,42.7
2008/12/01,40.47
2008/12/02,41.19
2008/12/03,45.21
2008/12/04,47.32
2008/12/05,48.26
2008/12/06,48.26
2008/12/07,48.26
2008/12/08,51.41
2008/12/09,51.25
2008/12/10,49.7
2008/12/11,48.25
2008/12/12,51.25
2008/12/13,51.25
2008/12/14,51.25
2008/12/15,48.85
2008/12/16,52.63
2008/12/17,53.18
2008/12/18,52.08
2008/12/19,51.56
2008/12/20,51.56
2008/12/21,51.56
2008/12/22,49.84
2008/12/23,51.08
2008/12/24,51.44
2008/12/25,51.44
2008/12/26,51.78
2008/12/27,51.78
2008/12/28,51.78
2008/12/29,49.4
2008/12/30,50.76
2008/12/31,51.28
2009/01/01,51.28
2009/01/02,54.36
2009/01/03,54.36
2009/01/04,54.36
2009/01/05,54.06
2009/01/06,57.36
2009/01/07,56.2
2009/01/08,57.16
2009/01/09,55.51
2009/01/10,55.51
2009/01/11,55.51
2009/01/12,51.92
2009/01/13,51.45
2009/01/14,48.49
2009/01/15,51.44
2009/01/16,51.59
2009/01/17,51.59
2009/01/18,51.59
2009/01/19,51.59
2009/01/20,48.44
2009/01/21,50.54
2009/01/22,49.94
2009/01/23,50.63
2009/01/24,50.63
2009/01/25,50.63
2009/01/26,49.63
2009/01/27,48.44
2009/01/28,50.36
2009/01/29,50.0
2009/01/30,58.82
2009/01/31,58.82
2009/02/01,58.82
2009/02/02,61.15
2009/02/03,63.59
2009/02/04,61.06
2009/02/05,63.18
2009/02/06,66.55
2009/02/07,66.55
2009/02/08,66.55
2009/02/09,66.71
2009/02/10,63.31
2009/02/11,64.35
2009/02/12,63.96
2009/02/13,63.26
2009/02/14,63.26
2009/02/15,63.26
2009/02/16,63.26
2009/02/17,61.67
2009/02/18,62.35
2009/02/19,61.95
2009/02/20,63.86
2009/02/21,63.86
2009/02/22,63.86
2009/02/23,61.71
2009/02/24,65.6
2009/02/25,63.71
2009/02/26,62.34
2009/02/27,64.79
2009/02/28,64.79
2009/03/01,64.79
2009/03/02,61.99
2009/03/03,61.7
2009/03/04,64.81
2009/03/05,64.77
2009/03/06,61.69
2009/03/07,61.69
2009/03/08,61.69
2009/03/09,60.49
2009/03/10,65.71
2009/03/11,68.54
2009/03/12,69.58
2009/03/13,68.63
2009/03/14,68.63
2009/03/15,68.63
2009/03/16,66.98
2009/03/17,71.35
2009/03/18,71.25
2009/03/19,70.1
2009/03/20,69.96
2009/03/21,69.96
2009/03/22,69.96
2009/03/23,75.58
2009/03/24,72.81
2009/03/25,72.4
2009/03/26,73.69
2009/03/27,70.52
2009/03/28,70.52
2009/03/29,70.52
2009/03/30,71.44
2009/03/31,73.44
2009/04/01,73.5
2009/04/02,76.34
2009/04/03,78.17
2009/04/04,78.17
2009/04/05,78.17
2009/04/06,77.99
2009/04/07,75.51
2009/04/08,76.98
2009/04/09,79.77
2009/04/10,79.77
2009/04/11,79.77
2009/04/12,79.77
2009/04/13,78.94
2009/04/14,77.22
2009/04/15,74.71
2009/04/16,77.25
2009/04/17,78.05
2009/04/18,78.05
2009/04/19,78.05
2009/04/20,77.57
2009/04/21,78.74
2009/04/22,79.2
2009/04/23,80.61
2009/04/24,84.46
2009/04/25,84.46
2009/04/26,84.46
2009/04/27,83.12
2009/04/28,82.4
2009/04/29,79.79
2009/04/30,80.52
2009/05/01,78.96
2009/05/02,78.96
2009/05/03,78.96
2009/05/04,79.77
2009/05/05,81.9
2009/05/06,81.99
