Date,Value
2008/08/01,10.18
2008/08/02,10.18
2008/08/03,10.18
2008/08/04,10.28
2008/08/05,10.77
2008/08/06,10.62
2008/08/07,10.51
2008/08/08,10.86
2008/08/09,10.86
2008/08/10,10.86
2008/08/11,10.91
2008/08/12,10.91
2008/08/13,10.93
2008/08/14,11.0
2008/08/15,11.14
2008/08/16,11.14
2008/08/17,11.14
2008/08/18,10.91
2008/08/19,10.74
2008/08/20,10.64
2008/08/21,10.73
2008/08/22,10.86
2008/08/23,10.86
2008/08/24,10.86
2008/08/25,10.4
2008/08/26,10.54
2008/08/27,10.64
2008/08/28,10.83
2008/08/29,10.59
2008/08/30,10.59
2008/08/31,10.59
2008/09/01,10.59
2008/09/02,10.58
2008/09/03,10.78
2008/09/04,10.43
2008/09/05,10.3
2008/09/06,10.3
2008/09/07,10.3
2008/09/08,10.66
2008/09/09,10.36
2008/09/10,10.56
2008/09/11,10.77
2008/09/12,10.86
2008/09/13,10.86
2008/09/14,10.86
2008/09/15,10.43
2008/09/16,10.27
2008/09/17,9.73
2008/09/18,10.22
2008/09/19,10.36
2008/09/20,10.36
2008/09/21,10.36
2008/09/22,9.94
2008/09/23,9.63
2008/09/24,9.59
2008/09/25,9.95
2008/09/26,10.35
2008/09/27,10.35
2008/09/28,10.35
2008/09/29,9.01
2008/09/30,9.81
2008/10/01,9.68
2008/10/02,9.18
2008/10/03,9.21
2008/10/04,9.21
2008/10/05,9.21
2008/10/06,9.07
2008/10/07,8.57
2008/10/08,8.49
2008/10/09,8.15
2008/10/10,7.68
2008/10/11,7.68
2008/10/12,7.68
2008/10/13,8.48
2008/10/14,8.32
2008/10/15,7.12
2008/10/16,7.68
2008/10/17,7.62
2008/10/18,7.62
2008/10/19,7.62
2008/10/20,7.99
2008/10/21,7.68
2008/10/22,7.1
2008/10/23,7.11
2008/10/24,6.54
2008/10/25,6.54
2008/10/26,6.54
2008/10/27,6.81
2008/10/28,8.48
2008/10/29,7.64
2008/10/30,7.55
2008/10/31,7.88
2008/11/01,7.88
2008/11/02,7.88
2008/11/03,8.54
2008/11/04,8.88
2008/11/05,8.45
2008/11/06,8.35
2008/11/07,8.71
2008/11/08,8.71
2008/11/09,8.71
2008/11/10,8.27
2008/11/11,7.87
2008/11/12,7.49
2008/11/13,8.13
2008/11/14,7.76
2008/11/15,7.76
2008/11/16,7.76
2008/11/17,7.59
2008/11/18,7.71
2008/11/19,6.88
2008/11/20,6.65
2008/11/21,7.04
2008/11/22,7.04
2008/11/23,7.04
2008/11/24,7.64
2008/11/25,7.85
2008/11/26,8.32
2008/11/27,8.32
2008/11/28,8.67
2008/11/29,8.67
2008/11/30,8.67
2008/12/01,7.72
2008/12/02,8.0
2008/12/03,8.03
2008/12/04,7.89
2008/12/05,8.08
2008/12/06,8.08
2008/12/07,8.08
2008/12/08,8.28
2008/12/09,8.21
2008/12/10,8.22
2008/12/11,7.99
2008/12/12,7.83
2008/12/13,7.83
2008/12/14,7.83
2008/12/15,7.8
2008/12/16,8.22
2008/12/17,8.17
2008/12/18,7.91
2008/12/19,7.88
2008/12/20,7.88
2008/12/21,7.88
2008/12/22,7.84
2008/12/23,7.76
2008/12/24,7.7
2008/12/25,7.7
2008/12/26,7.8
2008/12/27,7.8
2008/12/28,7.8
2008/12/29,7.76
2008/12/30,8.23
2008/12/31,8.44
2009/01/01,8.44
2009/01/02,8.99
2009/01/03,8.99
2009/01/04,8.99
2009/01/05,8.52
2009/01/06,8.62
2009/01/07,8.32
2009/01/08,8.46
2009/01/09,8.16
2009/01/10,8.16
2009/01/11,8.16
2009/01/12,7.85
2009/01/13,7.67
2009/01/14,7.41
2009/01/15,7.5
2009/01/16,7.67
2009/01/17,7.67
2009/01/18,7.67
2009/01/19,7.67
2009/01/20,7.01
2009/01/21,7.54
2009/01/22,7.39
2009/01/23,7.5
2009/01/24,7.5
2009/01/25,7.5
2009/01/26,7.53
2009/01/27,7.46
2009/01/28,7.98
2009/01/29,7.67
2009/01/30,7.33
2009/01/31,7.33
2009/02/01,7.33
2009/02/02,7.35
2009/02/03,7.34
2009/02/04,7.08
2009/02/05,6.92
2009/02/06,7.08
2009/02/07,7.08
2009/02/08,7.08
2009/02/09,7.21
2009/02/10,6.77
2009/02/11,6.79
2009/02/12,6.89
2009/02/13,6.83
2009/02/14,6.83
2009/02/15,6.83
2009/02/16,6.83
2009/02/17,6.45
2009/02/18,6.18
2009/02/19,6.5
2009/02/20,6.42
2009/02/21,6.42
2009/02/22,6.42
2009/02/23,6.34
2009/02/24,6.94
2009/02/25,7.03
2009/02/26,6.67
2009/02/27,6.53
2009/02/28,6.53
2009/03/01,6.53
2009/03/02,6.29
2009/03/03,6.25
2009/03/04,6.37
2009/03/05,6.0
2009/03/06,5.82
2009/03/07,5.82
2009/03/08,5.82
2009/03/09,5.61
2009/03/10,6.11
2009/03/11,6.18
2009/03/12,6.46
2009/03/13,6.51
2009/03/14,6.51
2009/03/15,6.51
2009/03/16,6.29
2009/03/17,6.63
2009/03/18,6.79
2009/03/19,6.53
2009/03/20,6.36
2009/03/21,6.36
2009/03/22,6.36
2009/03/23,7.04
2009/03/24,7.0
2009/03/25,6.97
2009/03/26,7.28
2009/03/27,7.27
2009/03/28,7.27
2009/03/29,7.27
2009/03/30,6.83
2009/03/31,6.82
2009/04/01,6.96
2009/04/02,7.29
2009/04/03,7.25
2009/04/04,7.25
2009/04/05,7.25
2009/04/06,7.18
2009/04/07,7.02
2009/04/08,7.13
2009/04/09,7.31
2009/04/10,7.31
2009/04/11,7.31
2009/04/12,7.31
2009/04/13,7.17
2009/04/14,6.93
2009/04/15,7.19
2009/04/16,7.38
2009/04/17,7.24
2009/04/18,7.24
2009/04/19,7.24
2009/04/20,6.96
2009/04/21,7.13
2009/04/22,7.03
2009/04/23,6.8
2009/04/24,6.95
2009/04/25,6.95
2009/04/26,6.95
2009/04/27,6.88
2009/04/28,7.09
2009/04/29,7.62
2009/04/30,7.73
2009/05/01,8.18
2009/05/02,8.18
2009/05/03,8.18
2009/05/04,8.32
2009/05/05,8.13
2009/05/06,8.0
2009/05/07,7.84
2009/05/08,7.88
2009/05/09,7.88
2009/05/10,7.88
2009/05/11,7.71
2009/05/12,7.6
2009/05/13,7.48
2009/05/14,7.43
2009/05/15,7.21
2009/05/16,7.21
2009/05/17,7.21
2009/05/18,7.58
2009/05/19,7.5
2009/05/20,7.43
2009/05/21,7.22
2009/05/22,7.11
2009/05/23,7.11
2009/05/24,7.11
2009/05/25,7.11
2009/05/26,7.34
2009/05/27,7.15
2009/05/28,7.09
2009/05/29,6.88
2009/05/30,6.88
2009/05/31,6.88
2009/06/01,6.96
2009/06/02,7.23
2009/06/03,7.09
2009/06/04,7.24
2009/06/05,7.05
2009/06/06,7.05
2009/06/07,7.05
2009/06/08,7.17
2009/06/09,7.2
2009/06/10,7.14
2009/06/11,7.25
2009/06/12,7.17
2009/06/13,7.17
2009/06/14,7.17
2009/06/15,6.91
2009/06/16,6.76
2009/06/17,6.93
2009/06/18,6.93
2009/06/19,6.93
2009/06/20,6.93
2009/06/21,6.93
2009/06/22,6.81
2009/06/23,6.89
2009/06/24,6.92
2009/06/25,7.18
2009/06/26,7.11
2009/06/27,7.11
2009/06/28,7.11
2009/06/29,7.18
2009/06/30,7.23
2009/07/01,7.24
2009/07/02,6.95
2009/07/03,6.95
2009/07/04,6.95
2009/07/05,6.95
2009/07/06,6.95
2009/07/07,6.65
2009/07/08,6.75
2009/07/09,6.7
2009/07/10,6.63
2009/07/11,6.63
2009/07/12,6.63
2009/07/13,6.76
2009/07/14,6.78
2009/07/15,7.05
2009/07/16,7.08
2009/07/17,7.08
2009/07/18,7.08
2009/07/19,7.08
2009/07/20,7.25
2009/07/21,7.16
2009/07/22,7.08
2009/07/23,7.25
2009/07/24,7.25
2009/07/25,7.25
2009/07/26,7.25
2009/07/27,7.45
2009/07/28,7.45
2009/07/29,7.29
2009/07/30,7.51
2009/07/31,7.43
2009/08/01,7.43
2009/08/02,7.43
2009/08/03,7.57
2009/08/04,7.7
2009/08/05,7.53
2009/08/06,7.53
2009/08/07,7.48
2009/08/08,7.48
2009/08/09,7.48
2009/08/10,7.5
2009/08/11,7.38
2009/08/12,7.42
2009/08/13,7.47
2009/08/14,7.41
2009/08/15,7.41
2009/08/16,7.41
2009/08/17,7.28
2009/08/18,7.17
2009/08/19,7.3
2009/08/20,7.28
2009/08/21,7.54
2009/08/22,7.54
2009/08/23,7.54
2009/08/24,7.55
2009/08/25,7.61
2009/08/26,7.57
2009/08/27,7.78
2009/08/28,7.86
2009/08/29,7.86
2009/08/30,7.86
2009/08/31,7.66
2009/09/01,7.58
2009/09/02,7.71
2009/09/03,7.74
2009/09/04,8.16
2009/09/05,8.16
2009/09/06,8.16
2009/09/07,8.16
2009/09/08,8.23
2009/09/09,8.43
2009/09/10,8.57
2009/09/11,8.61
2009/09/12,8.61
2009/09/13,8.61
2009/09/14,8.72
2009/09/15,8.71
2009/09/16,8.78
2009/09/17,8.53
2009/09/18,8.64
2009/09/19,8.64
2009/09/20,8.64
2009/09/21,8.63
2009/09/22,8.61
2009/09/23,8.42
2009/09/24,8.36
2009/09/25,8.35
2009/09/26,8.35
2009/09/27,8.35
2009/09/28,8.52
2009/09/29,8.69
2009/09/30,8.44
2009/10/01,7.83
2009/10/02,7.62
2009/10/03,7.62
2009/10/04,7.62
2009/10/05,7.67
2009/10/06,7.73
2009/10/07,7.76
2009/10/08,7.83
2009/10/09,7.78
2009/10/10,7.78
2009/10/11,7.78
2009/10/12,7.64
2009/10/13,7.68
2009/10/14,7.68
2009/10/15,7.63
2009/10/16,7.63
2009/10/17,7.63
2009/10/18,7.63
2009/10/19,7.72
2009/10/20,7.68
2009/10/21,7.55
2009/10/22,7.76
2009/10/23,7.53
2009/10/24,7.53
2009/10/25,7.53
2009/10/26,7.42
2009/10/27,7.36
2009/10/28,7.33
2009/10/29,7.5
2009/10/30,7.25
2009/10/31,7.25
2009/11/01,7.25
2009/11/02,7.25
2009/11/03,7.25
2009/11/04,7.03
2009/11/05,7.1
2009/11/06,7.29
2009/11/07,7.29
2009/11/08,7.29
2009/11/09,7.58
2009/11/10,7.42
2009/11/11,7.55
2009/11/12,7.67
2009/11/13,7.71
2009/11/14,7.71
2009/11/15,7.71
2009/11/16,7.92
2009/11/17,7.75
2009/11/18,7.57
2009/11/19,7.52
2009/11/20,7.5
2009/11/21,7.5
2009/11/22,7.5
2009/11/23,7.54
2009/11/24,7.56
2009/11/25,7.54
2009/11/26,7.54
2009/11/27,7.44
2009/11/28,7.44
2009/11/29,7.44
2009/11/30,7.33
2009/12/01,7.48
2009/12/02,7.47
2009/12/03,7.96
2009/12/04,8.06
2009/12/05,8.06
2009/12/06,8.06
2009/12/07,8.63
2009/12/08,8.68
2009/12/09,8.77
2009/12/10,8.79
2009/12/11,8.82
2009/12/12,8.82
2009/12/13,8.82
2009/12/14,8.79
2009/12/15,8.79
2009/12/16,8.76
2009/12/17,8.55
2009/12/18,8.62
2009/12/19,8.62
2009/12/20,8.62
2009/12/21,8.69
2009/12/22,8.6
2009/12/23,8.55
2009/12/24,8.59
2009/12/25,8.59
2009/12/26,8.59
2009/12/27,8.59
2009/12/28,8.54
2009/12/29,8.54
2009/12/30,8.54
2009/12/31,8.43
2010/01/01,8.43
2010/01/02,8.43
2010/01/03,8.43
2010/01/04,8.48
2010/01/05,8.37
2010/01/06,8.31
2010/01/07,8.48
2010/01/08,8.46
2010/01/09,8.46
2010/01/10,8.46
2010/01/11,8.4
2010/01/12,8.26
2010/01/13,8.38
2010/01/14,8.34
2010/01/15,8.31
2010/01/16,8.31
2010/01/17,8.31
2010/01/18,8.31
2010/01/19,8.4
2010/01/20,8.26
2010/01/21,8.0
2010/01/22,7.92
2010/01/23,7.92
2010/01/24,7.92
2010/01/25,8.01
2010/01/26,7.85
2010/01/27,7.92
2010/01/28,7.81
2010/01/29,7.92
2010/01/30,7.92
2010/01/31,7.92
2010/02/01,7.97
2010/02/02,8.14
2010/02/03,7.99
2010/02/04,7.76
2010/02/05,7.71
2010/02/06,7.71
2010/02/07,7.71
2010/02/08,7.61
2010/02/09,7.7
2010/02/10,7.66
2010/02/11,7.67
2010/02/12,7.67
2010/02/13,7.67
2010/02/14,7.67
2010/02/15,7.67
2010/02/16,7.83
2010/02/17,7.83
2010/02/18,7.87
2010/02/19,8.0
2010/02/20,8.0
2010/02/21,8.0
2010/02/22,8.1
2010/02/23,8.07
2010/02/24,8.21
2010/02/25,8.07
2010/02/26,8.22
2010/02/27,8.22
2010/02/28,8.22
2010/03/01,8.41
2010/03/02,8.4
2010/03/03,8.48
2010/03/04,8.59
2010/03/05,8.71
2010/03/06,8.71
2010/03/07,8.71
2010/03/08,8.78
2010/03/09,8.76
2010/03/10,8.77
2010/03/11,8.79
2010/03/12,8.71
2010/03/13,8.71
2010/03/14,8.71
2010/03/15,8.77
2010/03/16,8.74
2010/03/17,8.79
2010/03/18,8.84
2010/03/19,8.77
2010/03/20,8.77
2010/03/21,8.77
2010/03/22,8.89
2010/03/23,9.04
2010/03/24,9.09
2010/03/25,9.22
2010/03/26,9.17
2010/03/27,9.17
2010/03/28,9.17
2010/03/29,9.25
2010/03/30,9.37
2010/03/31,9.41
2010/04/01,9.43
2010/04/02,9.43
2010/04/03,9.43
2010/04/04,9.43
2010/04/05,9.41
2010/04/06,9.38
2010/04/07,9.14
2010/04/08,9.21
2010/04/09,9.25
2010/04/10,9.25
2010/04/11,9.25
2010/04/12,9.31
2010/04/13,9.34
2010/04/14,9.46
2010/04/15,9.43
2010/04/16,9.16
2010/04/17,9.16
2010/04/18,9.16
2010/04/19,9.29
2010/04/20,9.27
2010/04/21,9.27
2010/04/22,9.4
2010/04/23,9.48
2010/04/24,9.48
2010/04/25,9.48
2010/04/26,9.54
2010/04/27,9.23
2010/04/28,9.4
2010/04/29,10.0
2010/04/30,9.88
2010/05/01,9.88
2010/05/02,9.88
2010/05/03,10.2
2010/05/04,9.94
2010/05/05,9.87
2010/05/06,9.26
2010/05/07,9.18
2010/05/08,9.18
2010/05/09,9.18
2010/05/10,9.02
2010/05/11,9.04
2010/05/12,9.09
2010/05/13,8.88
2010/05/14,8.8
2010/05/15,8.8
2010/05/16,8.8
2010/05/17,9.05
2010/05/18,8.85
2010/05/19,8.79
2010/05/20,8.39
2010/05/21,8.52
2010/05/22,8.52
2010/05/23,8.52
2010/05/24,8.38
2010/05/25,8.84
2010/05/26,8.86
2010/05/27,9.16
2010/05/28,9.04
2010/05/29,9.04
2010/05/30,9.04
2010/05/31,9.04
2010/06/01,9.01
2010/06/02,9.19
2010/06/03,9.2
2010/06/04,8.89
2010/06/05,8.89
2010/06/06,8.89
2010/06/07,8.68
2010/06/08,8.71
2010/06/09,8.71
2010/06/10,9.04
2010/06/11,9.1
2010/06/12,9.1
2010/06/13,9.1
2010/06/14,9.07
2010/06/15,9.32
2010/06/16,9.2
2010/06/17,9.29
