Date,Value
2008/08/01,62.2
2008/08/02,62.2
2008/08/03,62.2
2008/08/04,62.52
2008/08/05,64.63
2008/08/06,65.72
2008/08/07,65.82
2008/08/08,66.99
2008/08/09,66.99
2008/08/10,66.99
2008/08/11,67.1
2008/08/12,67.78
2008/08/13,66.95
2008/08/14,67.14
2008/08/15,68.0
2008/08/16,68.0
2008/08/17,68.0
2008/08/18,67.41
2008/08/19,66.46
2008/08/20,65.94
2008/08/21,66.25
2008/08/22,67.43
2008/08/23,67.43
2008/08/24,67.43
2008/08/25,66.45
2008/08/26,66.52
2008/08/27,66.71
2008/08/28,67.81
2008/08/29,67.06
2008/08/30,67.06
2008/08/31,67.06
2008/09/01,67.06
2008/09/02,68.26
2008/09/03,68.33
2008/09/04,67.36
2008/09/05,68.44
2008/09/06,68.44
2008/09/07,68.44
2008/09/08,68.93
2008/09/09,68.63
2008/09/10,69.43
2008/09/11,70.37
2008/09/12,69.55
2008/09/13,69.55
2008/09/14,69.55
2008/09/15,68.95
2008/09/16,68.88
2008/09/17,65.37
2008/09/18,68.23
2008/09/19,66.09
2008/09/20,66.09
2008/09/21,66.09
2008/09/22,64.32
2008/09/23,64.16
2008/09/24,64.79
2008/09/25,65.98
2008/09/26,66.29
2008/09/27,66.29
2008/09/28,66.29
2008/09/29,63.2
2008/09/30,64.93
2008/10/01,64.69
2008/10/02,61.92
2008/10/03,62.6
2008/10/04,62.6
2008/10/05,62.6
2008/10/06,60.47
2008/10/07,57.8
2008/10/08,57.06
2008/10/09,54.4
2008/10/10,53.9
2008/10/11,53.9
2008/10/12,53.9
2008/10/13,59.52
2008/10/14,58.41
2008/10/15,53.61
2008/10/16,57.79
2008/10/17,57.98
2008/10/18,57.98
2008/10/19,57.98
2008/10/20,58.08
2008/10/21,55.86
2008/10/22,53.55
2008/10/23,52.21
2008/10/24,50.93
2008/10/25,50.93
2008/10/26,50.93
2008/10/27,51.9
2008/10/28,57.48
2008/10/29,56.88
2008/10/30,56.97
2008/10/31,57.01
2008/11/01,57.01
2008/11/02,57.01
2008/11/03,53.47
2008/11/04,55.09
2008/11/05,53.71
2008/11/06,53.51
2008/11/07,54.07
2008/11/08,54.07
2008/11/09,54.07
2008/11/10,53.0
2008/11/11,52.28
2008/11/12,48.78
2008/11/13,49.97
2008/11/14,48.06
2008/11/15,48.06
2008/11/16,48.06
2008/11/17,47.31
2008/11/18,46.76
2008/11/19,45.27
2008/11/20,44.99
2008/11/21,46.71
2008/11/22,46.71
2008/11/23,46.71
2008/11/24,49.45
2008/11/25,50.67
2008/11/26,51.45
2008/11/27,51.45
2008/11/28,51.47
2008/11/29,51.47
2008/11/30,51.47
2008/12/01,47.91
2008/12/02,50.1
2008/12/03,51.42
2008/12/04,52.75
2008/12/05,55.58
2008/12/06,55.58
2008/12/07,55.58
2008/12/08,55.19
2008/12/09,53.1
2008/12/10,53.69
2008/12/11,52.06
2008/12/12,53.4
2008/12/13,53.4
2008/12/14,53.4
2008/12/15,52.74
2008/12/16,53.03
2008/12/17,53.94
2008/12/18,54.15
2008/12/19,53.79
2008/12/20,53.79
2008/12/21,53.79
2008/12/22,52.72
2008/12/23,51.47
2008/12/24,51.69
2008/12/25,51.69
2008/12/26,51.47
2008/12/27,51.47
2008/12/28,51.47
2008/12/29,50.83
2008/12/30,51.13
2008/12/31,52.5
2009/01/01,52.5
2009/01/02,53.35
2009/01/03,53.35
2009/01/04,53.35
2009/01/05,52.29
2009/01/06,51.45
2009/01/07,50.12
2009/01/08,50.65
2009/01/09,49.14
2009/01/10,49.14
2009/01/11,49.14
2009/01/12,49.43
2009/01/13,48.94
2009/01/14,47.63
2009/01/15,48.47
2009/01/16,48.8
2009/01/17,48.8
2009/01/18,48.8
2009/01/19,48.8
2009/01/20,47.22
2009/01/21,47.9
2009/01/22,47.45
2009/01/23,46.97
2009/01/24,46.97
2009/01/25,46.97
2009/01/26,47.35
2009/01/27,47.9
2009/01/28,47.81
2009/01/29,46.45
2009/01/30,45.03
2009/01/31,45.03
2009/02/01,45.03
2009/02/02,45.3
2009/02/03,46.12
2009/02/04,42.98
2009/02/05,43.83
2009/02/06,45.21
2009/02/07,45.21
2009/02/08,45.21
2009/02/09,45.17
2009/02/10,43.97
2009/02/11,43.54
2009/02/12,44.32
2009/02/13,42.76
2009/02/14,42.76
2009/02/15,42.76
2009/02/16,42.76
2009/02/17,42.12
2009/02/18,42.38
2009/02/19,42.62
2009/02/20,42.76
2009/02/21,42.76
2009/02/22,42.76
2009/02/23,41.17
2009/02/24,42.55
2009/02/25,42.0
2009/02/26,41.55
2009/02/27,42.34
2009/02/28,42.34
2009/03/01,42.34
2009/03/02,40.84
2009/03/03,40.69
2009/03/04,40.81
2009/03/05,39.56
2009/03/06,38.98
2009/03/07,38.98
2009/03/08,38.98
2009/03/09,38.44
2009/03/10,40.14
2009/03/11,39.56
2009/03/12,40.86
2009/03/13,42.2
2009/03/14,42.2
2009/03/15,42.2
2009/03/16,42.12
2009/03/17,43.98
2009/03/18,44.46
2009/03/19,45.12
2009/03/20,44.83
2009/03/21,44.83
2009/03/22,44.83
2009/03/23,47.54
2009/03/24,46.36
2009/03/25,46.81
2009/03/26,48.46
2009/03/27,47.4
2009/03/28,47.4
2009/03/29,47.4
2009/03/30,46.25
2009/03/31,46.32
2009/04/01,46.35
2009/04/02,48.07
2009/04/03,48.91
2009/04/04,48.91
2009/04/05,48.91
2009/04/06,47.74
2009/04/07,46.39
2009/04/08,47.7
2009/04/09,46.9
2009/04/10,46.9
2009/04/11,46.9
2009/04/12,46.9
2009/04/13,46.41
2009/04/14,45.35
2009/04/15,45.66
2009/04/16,46.23
2009/04/17,45.77
2009/04/18,45.77
2009/04/19,45.77
2009/04/20,44.34
2009/04/21,46.46
2009/04/22,47.07
2009/04/23,46.83
2009/04/24,48.17
2009/04/25,48.17
2009/04/26,48.17
2009/04/27,47.64
2009/04/28,47.07
2009/04/29,47.67
2009/04/30,48.6
2009/05/01,47.69
2009/05/02,47.69
2009/05/03,47.69
2009/05/04,47.71
2009/05/05,47.65
2009/05/06,46.87
2009/05/07,45.93
2009/05/08,46.6
2009/05/09,46.6
2009/05/10,46.6
2009/05/11,46.02
2009/05/12,46.91
2009/05/13,45.65
2009/05/14,44.8
2009/05/15,44.75
2009/05/16,44.75
2009/05/17,44.75
2009/05/18,46.09
2009/05/19,47.21
2009/05/20,48.78
2009/05/21,48.31
2009/05/22,48.3
2009/05/23,48.3
2009/05/24,48.3
2009/05/25,48.3
2009/05/26,49.14
2009/05/27,48.83
2009/05/28,47.97
2009/05/29,48.52
2009/05/30,48.52
2009/05/31,48.52
2009/06/01,49.7
2009/06/02,49.45
2009/06/03,48.47
2009/06/04,47.87
2009/06/05,47.64
2009/06/06,47.64
2009/06/07,47.64
2009/06/08,47.53
2009/06/09,47.13
2009/06/10,46.59
2009/06/11,46.27
2009/06/12,47.03
2009/06/13,47.03
2009/06/14,47.03
2009/06/15,46.33
2009/06/16,45.95
2009/06/17,46.59
2009/06/18,46.24
2009/06/19,46.11
2009/06/20,46.11
2009/06/21,46.11
2009/06/22,45.35
2009/06/23,45.07
2009/06/24,45.04
2009/06/25,46.28
2009/06/26,46.41
2009/06/27,46.41
2009/06/28,46.41
2009/06/29,46.2
2009/06/30,45.78
2009/07/01,45.79
2009/07/02,44.64
2009/07/03,44.64
2009/07/04,44.64
2009/07/05,44.64
2009/07/06,45.7
2009/07/07,44.54
2009/07/08,46.02
2009/07/09,45.5
2009/07/10,44.97
2009/07/11,44.97
2009/07/12,44.97
2009/07/13,44.97
2009/07/14,45.03
2009/07/15,46.9
2009/07/16,47.49
2009/07/17,47.48
2009/07/18,47.48
2009/07/19,47.48
2009/07/20,48.47
2009/07/21,48.38
2009/07/22,48.82
2009/07/23,48.6
2009/07/24,49.13
2009/07/25,49.13
2009/07/26,49.13
2009/07/27,48.68
2009/07/28,48.84
2009/07/29,48.77
2009/07/30,49.25
2009/07/31,49.5
2009/08/01,49.5
2009/08/02,49.5
2009/08/03,50.0
2009/08/04,49.48
2009/08/05,49.06
2009/08/06,48.75
2009/08/07,50.1
2009/08/08,50.1
2009/08/09,50.1
2009/08/10,49.4
2009/08/11,48.92
2009/08/12,49.15
2009/08/13,48.88
2009/08/14,48.63
2009/08/15,48.63
2009/08/16,48.63
2009/08/17,47.47
2009/08/18,47.4
2009/08/19,47.94
2009/08/20,47.91
2009/08/21,48.56
2009/08/22,48.56
2009/08/23,48.56
2009/08/24,48.12
2009/08/25,49.62
2009/08/26,50.23
2009/08/27,51.31
2009/08/28,51.77
2009/08/29,51.77
2009/08/30,51.77
2009/08/31,50.98
2009/09/01,50.65
2009/09/02,50.65
2009/09/03,54.99
2009/09/04,55.47
2009/09/05,55.47
2009/09/06,55.47
2009/09/07,55.47
2009/09/08,56.73
2009/09/09,57.06
2009/09/10,56.91
2009/09/11,56.81
2009/09/12,56.81
2009/09/13,56.81
2009/09/14,56.99
2009/09/15,56.82
2009/09/16,57.7
2009/09/17,57.96
2009/09/18,57.55
2009/09/19,57.55
2009/09/20,57.55
2009/09/21,58.58
