Date,Value
2008/08/01,16.07
2008/08/02,16.07
2008/08/03,16.07
2008/08/04,16.26
2008/08/05,17.05
2008/08/06,17.14
2008/08/07,16.91
2008/08/08,17.4
2008/08/09,17.4
2008/08/10,17.4
2008/08/11,17.61
2008/08/12,17.58
2008/08/13,17.29
2008/08/14,16.8
2008/08/15,16.58
2008/08/16,16.58
2008/08/17,16.58
2008/08/18,16.16
2008/08/19,16.37
2008/08/20,16.32
2008/08/21,13.31
2008/08/22,13.99
2008/08/23,13.99
2008/08/24,13.99
2008/08/25,14.13
2008/08/26,14.14
2008/08/27,14.25
2008/08/28,14.43
2008/08/29,14.01
2008/08/30,14.01
2008/08/31,14.01
2008/09/01,14.01
2008/09/02,13.79
2008/09/03,13.49
2008/09/04,13.47
2008/09/05,13.61
2008/09/06,13.61
2008/09/07,13.61
2008/09/08,13.71
2008/09/09,13.03
2008/09/10,14.02
2008/09/11,14.5
2008/09/12,14.3
2008/09/13,14.3
2008/09/14,14.3
2008/09/15,13.7
2008/09/16,14.06
2008/09/17,13.33
2008/09/18,13.83
2008/09/19,13.95
2008/09/20,13.95
2008/09/21,13.95
2008/09/22,13.09
2008/09/23,13.06
2008/09/24,12.75
2008/09/25,13.01
2008/09/26,12.66
2008/09/27,12.66
2008/09/28,12.66
2008/09/29,11.19
2008/09/30,12.1
2008/10/01,11.6
2008/10/02,11.05
2008/10/03,10.39
2008/10/04,10.39
2008/10/05,10.39
2008/10/06,10.1
2008/10/07,8.98
2008/10/08,9.13
2008/10/09,8.49
2008/10/10,8.14
2008/10/11,8.14
2008/10/12,8.14
2008/10/13,9.43
2008/10/14,8.97
2008/10/15,7.73
2008/10/16,8.12
2008/10/17,7.9
2008/10/18,7.9
2008/10/19,7.9
2008/10/20,7.96
2008/10/21,7.5
2008/10/22,6.88
2008/10/23,6.8
2008/10/24,6.67
2008/10/25,6.67
2008/10/26,6.67
2008/10/27,6.33
2008/10/28,7.14
2008/10/29,7.51
2008/10/30,7.63
2008/10/31,7.74
2008/11/01,7.74
2008/11/02,7.74
2008/11/03,7.65
2008/11/04,7.88
2008/11/05,7.45
2008/11/06,7.09
2008/11/07,7.14
2008/11/08,7.14
2008/11/09,7.14
2008/11/10,7.08
2008/11/11,6.69
2008/11/12,6.08
2008/11/13,6.84
2008/11/14,6.6
2008/11/15,6.6
2008/11/16,6.6
2008/11/17,6.4
2008/11/18,5.95
2008/11/19,5.49
2008/11/20,5.71
2008/11/21,5.58
2008/11/22,5.58
2008/11/23,5.58
2008/11/24,6.65
2008/11/25,6.49
2008/11/26,7.22
2008/11/27,7.22
2008/11/28,7.16
2008/11/29,7.16
2008/11/30,7.16
2008/12/01,6.74
2008/12/02,7.27
2008/12/03,7.93
2008/12/04,7.17
2008/12/05,7.79
2008/12/06,7.79
2008/12/07,7.79
2008/12/08,8.71
2008/12/09,8.34
2008/12/10,8.64
2008/12/11,7.88
2008/12/12,7.99
2008/12/13,7.99
2008/12/14,7.99
2008/12/15,7.63
2008/12/16,8.18
2008/12/17,8.29
2008/12/18,8.04
2008/12/19,8.07
2008/12/20,8.07
2008/12/21,8.07
2008/12/22,7.77
2008/12/23,7.89
2008/12/24,7.89
2008/12/25,7.89
2008/12/26,7.86
2008/12/27,7.86
2008/12/28,7.86
2008/12/29,7.73
2008/12/30,7.74
2008/12/31,8.0
2009/01/01,8.0
2009/01/02,8.51
2009/01/03,8.51
2009/01/04,8.51
2009/01/05,8.34
2009/01/06,8.65
2009/01/07,8.0
2009/01/08,8.23
2009/01/09,7.88
2009/01/10,7.88
2009/01/11,7.88
2009/01/12,7.71
2009/01/13,7.41
2009/01/14,6.96
2009/01/15,6.92
2009/01/16,7.03
2009/01/17,7.03
2009/01/18,7.03
2009/01/19,7.03
2009/01/20,6.52
2009/01/21,6.89
2009/01/22,6.62
2009/01/23,6.77
2009/01/24,6.77
2009/01/25,6.77
2009/01/26,6.88
2009/01/27,6.85
2009/01/28,7.35
2009/01/29,6.9
2009/01/30,6.65
2009/01/31,6.65
2009/02/01,6.65
2009/02/02,6.66
2009/02/03,7.5
2009/02/04,7.33
2009/02/05,7.68
2009/02/06,7.26
2009/02/07,7.26
