Date,Value
2008/08/01,5.56
2008/08/02,5.56
2008/08/03,5.56
2008/08/04,5.74
2008/08/05,5.73
2008/08/06,5.66
2008/08/07,5.93
2008/08/08,5.9
2008/08/09,5.9
2008/08/10,5.9
2008/08/11,5.98
2008/08/12,5.83
2008/08/13,5.53
2008/08/14,5.4
2008/08/15,5.57
2008/08/16,5.57
2008/08/17,5.57
2008/08/18,5.75
2008/08/19,5.8
2008/08/20,5.83
2008/08/21,5.89
2008/08/22,5.97
2008/08/23,5.97
2008/08/24,5.97
2008/08/25,5.95
2008/08/26,5.91
2008/08/27,6.21
2008/08/28,6.32
2008/08/29,6.21
2008/08/30,6.21
2008/08/31,6.21
2008/09/01,6.21
2008/09/02,6.39
2008/09/03,6.17
2008/09/04,5.73
2008/09/05,5.66
2008/09/06,5.66
2008/09/07,5.66
2008/09/08,5.67
2008/09/09,5.44
2008/09/10,5.58
2008/09/11,5.54
2008/09/12,5.46
2008/09/13,5.46
2008/09/14,5.46
2008/09/15,5.18
2008/09/16,5.26
2008/09/17,5.24
2008/09/18,5.54
2008/09/19,6.0
2008/09/20,6.0
2008/09/21,6.0
2008/09/22,5.91
2008/09/23,5.72
2008/09/24,5.55
2008/09/25,5.64
2008/09/26,5.45
2008/09/27,5.45
2008/09/28,5.45
2008/09/29,5.15
2008/09/30,5.45
2008/10/01,5.25
2008/10/02,5.13
2008/10/03,5.08
2008/10/04,5.08
2008/10/05,5.08
2008/10/06,4.94
2008/10/07,4.51
2008/10/08,4.53
2008/10/09,4.19
2008/10/10,4.37
2008/10/11,4.37
2008/10/12,4.37
2008/10/13,4.62
2008/10/14,4.71
2008/10/15,4.25
2008/10/16,4.95
2008/10/17,4.8
2008/10/18,4.8
2008/10/19,4.8
2008/10/20,5.03
2008/10/21,4.58
2008/10/22,4.59
2008/10/23,4.95
2008/10/24,4.94
2008/10/25,4.94
2008/10/26,4.94
2008/10/27,4.65
2008/10/28,5.2
2008/10/29,5.21
2008/10/30,5.43
2008/10/31,5.74
2008/11/01,5.74
2008/11/02,5.74
2008/11/03,5.73
2008/11/04,5.85
2008/11/05,5.66
2008/11/06,5.25
2008/11/07,5.36
2008/11/08,5.36
2008/11/09,5.36
2008/11/10,5.31
2008/11/11,5.08
2008/11/12,4.61
2008/11/13,4.77
2008/11/14,4.08
2008/11/15,4.08
2008/11/16,4.08
2008/11/17,4.13
2008/11/18,3.99
2008/11/19,3.74
2008/11/20,3.69
2008/11/21,3.59
2008/11/22,3.59
2008/11/23,3.59
2008/11/24,3.83
2008/11/25,3.78
2008/11/26,4.21
2008/11/27,4.21
2008/11/28,4.22
2008/11/29,4.22
2008/11/30,4.22
2008/12/01,3.9
2008/12/02,4.28
2008/12/03,4.23
2008/12/04,2.9
2008/12/05,2.9
2008/12/06,2.9
2008/12/07,2.9
2008/12/08,2.9
2008/12/09,2.94
2008/12/10,2.9
2008/12/11,2.35
2008/12/12,2.39
2008/12/13,2.39
2008/12/14,2.39
2008/12/15,2.35
2008/12/16,2.71
2008/12/17,2.67
2008/12/18,2.66
2008/12/19,2.67
2008/12/20,2.67
2008/12/21,2.67
2008/12/22,2.71
2008/12/23,2.47
2008/12/24,2.35
2008/12/25,2.35
2008/12/26,2.45
2008/12/27,2.45
2008/12/28,2.45
2008/12/29,2.38
2008/12/30,2.49
2008/12/31,2.68
2009/01/01,2.68
2009/01/02,2.83
2009/01/03,2.83
2009/01/04,2.83
2009/01/05,2.85
2009/01/06,2.97
2009/01/07,2.82
2009/01/08,2.84
2009/01/09,2.76
2009/01/10,2.76
2009/01/11,2.76
2009/01/12,2.47
2009/01/13,2.46
2009/01/14,2.4
2009/01/15,2.43
2009/01/16,2.44
2009/01/17,2.44
2009/01/18,2.44
2009/01/19,2.44
2009/01/20,2.22
2009/01/21,2.34
2009/01/22,2.31
2009/01/23,2.41
2009/01/24,2.41
2009/01/25,2.41
2009/01/26,2.45
2009/01/27,2.76
2009/01/28,2.7
2009/01/29,2.87
2009/01/30,2.82
2009/01/31,2.82
2009/02/01,2.82
2009/02/02,2.75
2009/02/03,2.82
2009/02/04,2.9
2009/02/05,3.14
2009/02/06,3.23
2009/02/07,3.23
2009/02/08,3.23
2009/02/09,3.3
2009/02/10,3.15
2009/02/11,3.27
2009/02/12,3.48
2009/02/13,3.7
2009/02/14,3.7
2009/02/15,3.7
2009/02/16,3.7
2009/02/17,3.53
2009/02/18,3.7
2009/02/19,3.71
2009/02/20,3.64
2009/02/21,3.64
2009/02/22,3.64
2009/02/23,3.54
2009/02/24,3.67
2009/02/25,3.61
2009/02/26,3.56
2009/02/27,3.55
2009/02/28,3.55
2009/03/01,3.55
2009/03/02,3.44
2009/03/03,3.32
2009/03/04,3.34
2009/03/05,3.13
2009/03/06,3.14
2009/03/07,3.14
2009/03/08,3.14
2009/03/09,3.18
2009/03/10,3.61
2009/03/11,3.64
2009/03/12,3.95
2009/03/13,3.84
2009/03/14,3.84
2009/03/15,3.84
2009/03/16,3.67
2009/03/17,3.97
2009/03/18,4.11
2009/03/19,4.07
2009/03/20,3.77
2009/03/21,3.77
2009/03/22,3.77
2009/03/23,4.21
2009/03/24,3.9
2009/03/25,3.92
2009/03/26,4.28
2009/03/27,4.0
2009/03/28,4.0
2009/03/29,4.0
2009/03/30,3.77
2009/03/31,3.76
2009/04/01,3.9
2009/04/02,4.09
2009/04/03,4.23
2009/04/04,4.23
2009/04/05,4.23
2009/04/06,4.09
2009/04/07,3.63
2009/04/08,3.77
2009/04/09,3.91
2009/04/10,3.91
2009/04/11,3.91
2009/04/12,3.91
2009/04/13,3.77
2009/04/14,3.64
2009/04/15,3.71
2009/04/16,3.82
2009/04/17,4.09
2009/04/18,4.09
2009/04/19,4.09
2009/04/20,3.86
2009/04/21,4.18
2009/04/22,4.28
2009/04/23,4.02
2009/04/24,4.14
2009/04/25,4.14
2009/04/26,4.14
2009/04/27,3.91
2009/04/28,4.0
2009/04/29,4.43
2009/04/30,4.65
2009/05/01,4.59
2009/05/02,4.59
2009/05/03,4.59
2009/05/04,4.53
2009/05/05,4.49
2009/05/06,4.34
2009/05/07,4.01
2009/05/08,3.95
2009/05/09,3.95
2009/05/10,3.95
2009/05/11,3.9
2009/05/12,3.79
2009/05/13,3.51
2009/05/14,3.48
2009/05/15,3.39
2009/05/16,3.39
2009/05/17,3.39
2009/05/18,3.52
2009/05/19,3.6
2009/05/20,3.52
2009/05/21,3.37
2009/05/22,3.49
2009/05/23,3.49
2009/05/24,3.49
2009/05/25,3.49
2009/05/26,3.74
2009/05/27,3.75
2009/05/28,3.74
2009/05/29,3.89
2009/05/30,3.89
2009/05/31,3.89
2009/06/01,4.04
2009/06/02,3.95
2009/06/03,3.98
2009/06/04,4.12
2009/06/05,4.07
2009/06/06,4.07
2009/06/07,4.07
2009/06/08,4.23
2009/06/09,4.69
2009/06/10,4.58
2009/06/11,4.49
2009/06/12,4.59
2009/06/13,4.59
2009/06/14,4.59
2009/06/15,4.52
2009/06/16,4.46
2009/06/17,4.49
2009/06/18,4.52
2009/06/19,4.46
2009/06/20,4.46
2009/06/21,4.46
2009/06/22,4.29
2009/06/23,4.26
2009/06/24,4.43
2009/06/25,4.57
2009/06/26,4.59
2009/06/27,4.59
2009/06/28,4.59
2009/06/29,4.53
2009/06/30,4.5
2009/07/01,4.48
2009/07/02,4.3
2009/07/03,4.3
2009/07/04,4.3
2009/07/05,4.3
2009/07/06,4.21
2009/07/07,4.12
2009/07/08,4.04
2009/07/09,4.09
2009/07/10,4.13
2009/07/11,4.13
2009/07/12,4.13
2009/07/13,4.33
2009/07/14,4.34
2009/07/15,4.69
2009/07/16,4.7
2009/07/17,4.56
2009/07/18,4.56
2009/07/19,4.56
2009/07/20,4.64
2009/07/21,4.54
2009/07/22,4.63
2009/07/23,5.29
2009/07/24,5.49
2009/07/25,5.49
2009/07/26,5.49
2009/07/27,5.36
2009/07/28,5.59
2009/07/29,5.3
2009/07/30,5.39
2009/07/31,5.38
2009/08/01,5.38
2009/08/02,5.38
2009/08/03,5.39
2009/08/04,5.21
2009/08/05,5.0
2009/08/06,4.97
2009/08/07,5.01
2009/08/08,5.01
2009/08/09,5.01
2009/08/10,5.09
2009/08/11,4.96
2009/08/12,5.01
2009/08/13,4.92
2009/08/14,4.95
2009/08/15,4.95
2009/08/16,4.95
2009/08/17,4.92
2009/08/18,5.0
2009/08/19,5.21
2009/08/20,5.27
2009/08/21,5.16
2009/08/22,5.16
2009/08/23,5.16
2009/08/24,5.12
2009/08/25,5.02
2009/08/26,5.09
2009/08/27,5.07
2009/08/28,5.02
2009/08/29,5.02
2009/08/30,5.02
2009/08/31,4.96
2009/09/01,4.86
2009/09/02,4.83
2009/09/03,4.97
2009/09/04,4.96
2009/09/05,4.96
2009/09/06,4.96
2009/09/07,4.96
2009/09/08,5.08
2009/09/09,5.24
2009/09/10,5.58
2009/09/11,5.83
2009/09/12,5.83
2009/09/13,5.83
2009/09/14,5.91
2009/09/15,6.14
2009/09/16,6.01
2009/09/17,5.9
2009/09/18,5.71
2009/09/19,5.71
2009/09/20,5.71
2009/09/21,5.6
2009/09/22,5.72
2009/09/23,5.83
2009/09/24,5.6
2009/09/25,5.53
2009/09/26,5.53
