Date,Value
2008/08/01,22.01
2008/08/02,22.01
2008/08/03,22.01
2008/08/04,22.06
2008/08/05,23.02
2008/08/06,23.85
2008/08/07,23.95
2008/08/08,24.99
2008/08/09,24.99
2008/08/10,24.99
2008/08/11,25.83
2008/08/12,26.07
2008/08/13,25.28
2008/08/14,25.73
2008/08/15,25.58
2008/08/16,25.58
2008/08/17,25.58
2008/08/18,25.18
2008/08/19,24.74
2008/08/20,24.95
2008/08/21,25.01
2008/08/22,25.25
2008/08/23,25.25
2008/08/24,25.25
2008/08/25,24.49
2008/08/26,23.81
2008/08/27,24.4
2008/08/28,24.82
2008/08/29,24.65
2008/08/30,24.65
2008/08/31,24.65
2008/09/01,24.65
2008/09/02,24.46
2008/09/03,24.58
2008/09/04,23.22
2008/09/05,23.33
2008/09/06,23.33
2008/09/07,23.33
2008/09/08,22.99
2008/09/09,22.05
2008/09/10,22.5
2008/09/11,22.93
2008/09/12,23.63
2008/09/13,23.63
2008/09/14,23.63
2008/09/15,22.38
2008/09/16,22.51
2008/09/17,21.56
2008/09/18,22.36
2008/09/19,23.2
2008/09/20,23.2
2008/09/21,23.2
2008/09/22,21.73
2008/09/23,21.87
2008/09/24,22.95
2008/09/25,23.15
2008/09/26,22.82
2008/09/27,22.82
2008/09/28,22.82
2008/09/29,19.22
2008/09/30,20.57
2008/10/01,19.4
2008/10/02,18.41
2008/10/03,17.1
2008/10/04,17.1
2008/10/05,17.1
2008/10/06,16.66
2008/10/07,15.91
2008/10/08,16.76
2008/10/09,16.39
2008/10/10,16.45
2008/10/11,16.45
2008/10/12,16.45
2008/10/13,18.62
2008/10/14,18.27
2008/10/15,16.87
2008/10/16,17.63
2008/10/17,17.33
2008/10/18,17.33
2008/10/19,17.33
2008/10/20,17.83
2008/10/21,16.67
2008/10/22,16.26
2008/10/23,18.02
2008/10/24,17.62
2008/10/25,17.62
2008/10/26,17.62
2008/10/27,17.76
2008/10/28,20.15
2008/10/29,20.14
2008/10/30,20.13
2008/10/31,20.99
2008/11/01,20.99
2008/11/02,20.99
2008/11/03,21.49
2008/11/04,22.08
2008/11/05,20.04
2008/11/06,19.24
2008/11/07,19.64
2008/11/08,19.64
2008/11/09,19.64
2008/11/10,19.77
2008/11/11,19.27
2008/11/12,18.38
2008/11/13,19.19
2008/11/14,18.69
2008/11/15,18.69
2008/11/16,18.69
2008/11/17,18.16
2008/11/18,18.4
2008/11/19,17.75
2008/11/20,17.49
2008/11/21,18.64
2008/11/22,18.64
2008/11/23,18.64
2008/11/24,20.88
2008/11/25,20.77
2008/11/26,22.03
2008/11/27,22.03
2008/11/28,21.71
2008/11/29,21.71
2008/11/30,21.71
2008/12/01,18.93
2008/12/02,20.64
2008/12/03,20.85
2008/12/04,19.23
2008/12/05,20.46
